match,blue1,blue2,blue3,red1,red2,red3
1,9991,2714,9105,2718,9994,5411
2,9990,148,2583,3676,7121,457
3,9992,2789,1745,9128,1296,8732
4,9998,9140,9492,9993,5212,7503
5,6171,5431,8874,4192,5572,6369
6,1745,457,9990,2789,2718,2714
7,5212,3676,148,7503,5411,9128
8,2583,6171,9998,9105,5431,9128
9,5572,8874,7121,8732,9991,9492
10,9994,4192,1296,9993,6369,9140
11,6171,5212,5411,7503,2583,2789
12,5431,9128,3676,8874,9492,2718
13,457,9998,4192,9991,1745,9994
14,9990,9993,9105,148,8732,6369
15,7121,9992,2714,1296,9140,5572
16,492,1745,2718,2583,9492,5212
17,8732,2789,8874,148,9998,5431
18,9140,9128,9994,5411,9990,5572
19,7121,9993,9991,2714,3676,6171
20,6369,9105,1296,457,7503,9992
21,9140,2583,1745,8874,9994,148
22,5411,2714,8732,9492,6171,4192
23,6369,7503,9998,9128,2718,7121
24,3676,5572,9993,2789,9105,457
25,9992,1296,5212,5421,9991,9990
